# Sample data for property (house) prices
500     300
570     1000
580     350
580     990
590     800
500     550
510     630
520     650
530     680
540     700
595     940
590     1100
570     1020
670     400
595     346
590     400
570     320
670     390
750     1100
760     1000
770      980
780     1050
790     1010
800     900
810     1040
820     900
820     1100
750     1100
760     1100
770     1080
780     1120
790     1110
800     1200
810     1240
820     1230
820     1100
900     1210
959     1230
1000    1250
1250    1390
1270    1340
1300    1310
1350    1310
1360    1270
1230    1220
1900    1420
1950    1380
1920    1360
1900    1400
1250    1290
1270    1240
1300    1210
1350    1210
1360    1170
1230    1120
1900    1320
1950    1280
1920    1260
1900    1200
700     1000
630     420
670     500
700     550
630     500
670     490
700     600
630     600
670     520
700     630
630     610
790     590
800     600
750     720
500     400
580     450
630     620
790     690
800     700
750     820
900     690
950     1000
1100    1200
1020    1150    
1030    1200
1040    1130
1060    1100
950     1000
980     1010
990     990
1000    950
1150    1000
1204    1100
1300    1150
1340    1120
1380    1190
1400    1200
1450    1250
1470    1250
1500    1300
1550    1400
1450    1340
1700    1300
1630    1400
1730    1390
1600    1200
1800    1400
1990    1390
2100    1500
2350    1400
2400    1380
2460    1330
